ResourceType      Locations      Name                  Zones    Restrictions
----------------  -------------  --------------------  -------  --------------------------------------------------------------------------------------------------------------------------------------------------------
availabilitySets  southeastasia  Aligned                        None
availabilitySets  southeastasia  Classic                        None
virtualMachines   southeastasia  Standard_E16-8ds_v4   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16-8s_v3    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16-8s_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E20ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E20d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E20s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E20s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E20_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E20_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E2ds_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E2d_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E2s_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E2s_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E2_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E2_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E32-16ds_v4  1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
